"id","dob","sex"
"1096","19780718","M"
"1097","19780721","M"
"1098","19780725","W"
"1099","19780723","W"
"1100","19780722","W"
"1101","19780811","M"
"1102","19780819","M"
"1103","19780821","M"
"1104","19780829","W"
"1105","19780902","M"
"1106","19780907","M"
"1107","19780908","W"
"1108","19780904","M"
"1109","19780908","M"
"1110","19780917","M"
"1111","19780913","M"
"1112","19780914","W"
"1113","19780910","M"
"1114","19780913","M"
"1115","19780913","M"
"1116","19780923","M"
"1117","19780923","M"
"1118","19780925","W"
"1119","19780921","W"
"1120","19781003","W"
"1121","19780930","M"
"1122","19781006","M"
"1123","19781011","M"
"1124","19781011","M"
"1125","19781010","W"
"1126","19781012","M"
"1127","19781013","M"
"1128","19781028","M"
"1129","19781021","M"
"1130","19781023","M"
"1131","19781104","W"
"1132","19781102","M"
"1133","19781031","M"
"1134","19781109","W"
"1135","19781030","M"
"1136","19781106","M"
"1137","19781113","W"
"1138","19781118","W"
"1139","19781111","M"
"1140","19781112","M"
"1141","19781120","M"
"1142","19781120","M"
"1143","19781122","M"
"1144","19781128","M"
"1145","19781125","W"
"1146","19781126","W"
"1147","19781203","M"
"1148","19781123","M"
"1149","19781126","M"
"1150","19781129","M"
"1151","19781203","W"
"1152","19781203","M"
"1153","19781205","M"
"1154","19781203","W"
"1155","19781206","M"
"1156","19781218","M"
"1157","19781212","M"
"1158","19781219","W"
"1159","19781220","W"
"1160","19781216","M"
"1161","19781219","W"
"1162","19781221","W"
"1163","19781222","M"
"1164","19781225","M"
"1165","19781226","M"
"1166","19790101","W"
"1167","19781225","M"
"1168","19781227","M"
"1169","19790103","W"
"1170","19781231","M"
"1171","19781228","M"
"1172","19790107","M"
"1173","19790106","M"
"1174","19790105","M"
"1175","19790103","W"
"1176","19790114","W"
"1177","19790123","M"
"1178","19790117","M"
"1179","19790125","W"
"1180","19790122","W"
"1181","19790119","W"
"1182","19790126","W"
"1183","19790124","W"
"1184","19790121","M"
"1185","19790128","W"
"1186","19790201","M"
"1187","19790205","M"
"1188","19790208","M"
"1189","19790209","W"
"1190","19790214","M"
"1191","19790205","W"
"1192","19790211","W"
"1193","19790215","M"
"1194","19790219","W"
"1195","19790216","M"
"1196","19790220","M"
"1197","19790217","M"
"1198","19790219","M"
"1199","19790220","W"
"1200","19790215","W"
"1201","19790301","M"
"1202","19790302","W"
"1203","19790306","W"
"1204","19790309","M"
"1205","19790316","W"
"1206","19790315","M"
"1207","19790314","M"
"1208","19790320","W"
"1209","19790320","M"
"1210","19790330","M"
"1211","19790401","M"
